id_catalog_simple,config,import,sku,created_at_external,updated_at_external,created_at,updated_at,price,special_price,special_from_date,special_to_date,tax_class,tax_class_2,original_price,base_price,barcode_ean,sku_supplier_simple,supplier_simple_name,shipment_type,transport_type,is_global,shipment_cost,shipment_cost_comment,dreamroom_show_in_image_map,dreamroom_image_map_x,dreamroom_image_map_y,xcart_sku,delivery_date_start,delivery_date_end,docdata_ean,docdata_description,docdata_weight,custom_identifier,expected_delivery_date_start,expected_delivery_date_end,navision_flag,delivery_day_min,delivery_day_max,additional_inbound_info,expected_gm1,expected_gm2,expected_gm3,sum_gross_weight,number_separate_packages,delay_reasons,hide_original_price,producer_name,producer_address,additional_2mh_service,additional_2mh_service_price,is_bundle,id_catalog_config_westwing,design_scout,logistic_lead,id_catalog_simple_westwing,simple,variation,brand,supplier,supplier_identifier,config_group,attribute_set,categories,id_catalog_config,sku_config,status_config,name,name_other,description,editor_opinion,choice_of_description,display_as_out_of_stock,pet_status,pet_approved,activated_at,sku_supplier_config,name_supplier,origin,delivery_period,note,designer,color,main_material,finish,measures,weight,details,package_height,package_length,package_width,package_weight,short_description,care_label,next_simple_nr,brand_name_for_theme_campaigns,advent_day,advent_url,advent_path,overwrite_delivery_period,is_seo_relevant,export_static,is_hybris_product,has_delivery_guarantee,net_purchase_price,net_purchase_price_discounted,supplier_product_number,supplier_product_name,local_stock,global_stock,package1_length,package1_height,package1_width,package1_weight,package2_length,package2_height,package2_width,package2_weight,package3_length,package3_height,package3_width,package3_weight,color_1,color_2,color_3,color_characteristic,position,additional_campaigns,campaign,status_simple,expected_logistics_costs,discount_level,blowout_round,allow_multiple_po,,,,,,,
776365,774555,,HA543WWAQXOOPL-1,,,2015-04-08 12:17:17,2015-04-15 12:48:58,29,,,,1,,32,,,,,Local warehouse,,1,0,,,,,PL15CHR12-101,,,2022701841537,401,150,PL15CHR12-101,,,1,22,36,,35.4,37.5,21.9,150,1,,0,,,,,0,773138,,,775904,776365,,Happy lights,Christensen Sp. z o.o.,PLCHRI1,,westwing,100450,774555,HA543WWAQXOOPL,active,Guirlande lumineuse ADAMS PEAK coton, multicolore - L150,,x,,B,0,creation,edited,images,1,2015-04-08 12:30:58,PL15CHR12-101,,China,,130,,Multicolore,Coton et plastique,,Diamètre d'une sphère : 7 cm<br>Longueur : 150 cm,,1 Guirlande lumineuse<br>20 boules lumineuses<br>Certificat CE<br>Alimentation : 230 V - 50 Hz - 16.6W<br>Ampoules recommandées de type : 0.78W- 12V, 65 mA<br>Luminaire adapté aux classes énergétiques de type A++ à E<br>Ampoules fournies<br>Avec 2 Ampoules de rechange<br>Garantie du fabricant : 6 mois,,,,,,Nettoyer avec un chiffon sec,2,,,,,0,1,0,0,0,14.4,,401,ADAM'S PEAK/ HAPPY LIGHTS 20,0,19,19,20,19,150,,,,,,,,,,,,Multicolor,237,Déco au naturel,Déco au naturel ,active,12,,,0,,,
776366,774556,,HA543WWAQXOPPL-1,,,2015-04-08 12:17:17,2015-04-15 12:48:58,29,,,,1,,32,,,,,Local warehouse,,1,0,,,,,PL15CHR12-102,,,2022701841544,475,150,PL15CHR12-102,,,1,22,36,,35.4,37.5,21.9,150,1,,0,,,,,0,773139,,,775905,776366,,Happy lights,Christensen Sp. z o.o.,PLCHRI1,,westwing,100450,774556,HA543WWAQXOPPL,active,Guirlande lumineuse ANDES coton, multicolore - L150,,x,,B,0,creation,edited,images,1,2015-04-08 12:30:58,PL15CHR12-102,,China,,130,,Multicolore,Coton et plastique,,Diamètre d'une sphère : 7 cm<br>Longueur : 150 cm,,1 Guirlande lumineuse<br>20 boules lumineuses<br>Certificat CE<br>Alimentation : 230 V - 50 Hz - 16.6W<br>Ampoules recommandées de type : 0.78W- 12V, 65 mA<br>Luminaire adapté aux classes énergétiques de type A++ à E<br>Ampoules fournies<br>Avec 2 Ampoules de rechange<br>Garantie du fabricant : 6 mois,,,,,,Nettoyer avec un chiffon sec,2,,,,,0,1,0,0,0,14.4,,475,ANDES / HAPPY LIGHTS 20,0,19,19,20,19,150,,,,,,,,,,,,Multicolor,236,Déco au naturel,Déco au naturel ,active,12,,,0,,,
776367,774557,,HA543WWAQXOQPL-1,,,2015-04-08 12:17:17,2015-04-15 12:48:58,29,,,,1,,32,,,,,Local warehouse,,1,0,,,,,PL15CHR12-103,,,2022701841551,403,150,PL15CHR12-103,,,1,22,36,,35.4,37.5,21.9,150,1,,0,,,,,0,773140,,,775906,776367,,Happy lights,Christensen Sp. z o.o.,PLCHRI1,,westwing,100450,774557,HA543WWAQXOQPL,active,Guirlande lumineuse ASSAYITA coton, multicolore - L150,,x,,B,0,creation,edited,images,1,2015-04-08 12:30:58,PL15CHR12-103,,China,,130,,Multicolore,Coton et plastique,,Diamètre d'une sphère : 7 cm<br>Longueur : 150 cm,,1 Guirlande lumineuse<br>20 boules lumineuses<br>Certificat CE<br>Alimentation : 230 V - 50 Hz - 16.6W<br>Ampoules recommandées de type : 0.78W- 12V, 65 mA<br>Luminaire adapté aux classes énergétiques de type A++ à E<br>Ampoules fournies<br>Avec 2 Ampoules de rechange<br>Garantie du fabricant : 6 mois,,,,,,Nettoyer avec un chiffon sec,2,,,,,0,1,0,0,0,14.4,,403,ASSAYITA / HAPPY LIGHTS 20,0,19,19,20,19,150,,,,,,,,,,,,Multicolor,235,Déco au naturel,Déco au naturel ,active,12,,,0,,,
776369,774559,,HA543WWAQXOSPL-1,,,2015-04-08 12:17:18,2015-04-15 12:48:58,29,,,,1,,32,,,,,Local warehouse,,1,0,,,,,PL15CHR12-105,,,2022701841575,603,200,PL15CHR12-105,,,1,22,36,,36.4,38.4,24,200,1,,0,,,,,0,773142,,,775908,776369,,Happy lights,Christensen Sp. z o.o.,PLCHRI1,,westwing,100450,774559,HA543WWAQXOSPL,active,Guirlande lumineuse GOLD TOUCH coton, multicolore - L150,,x,,B,0,creation,edited,images,1,2015-04-08 12:30:58,PL15CHR12-105,,China,,130,,Multicolore,Coton et plastique,,Diamètre d'une sphère : 7 cm<br>Longueur : 150 cm,,1 Guirlande lumineuse<br>20 boules lumineuses<br>Certificat CE<br>Alimentation : 230 V - 50 Hz - 16.6W<br>Ampoules recommandées de type : 0.78W- 12V, 65 mA<br>Luminaire adapté aux classes énergétiques de type A++ à E<br>Ampoules fournies<br>Avec 2 Ampoules de rechange<br>Garantie du fabricant : 6 mois,,,,,,Nettoyer avec un chiffon sec,2,,,,,0,1,0,0,0,15.83,,603,GOLD TOUCH /HAPPY LIGHTS 20,0,49,19,32,19,200,,,,,,,,,,,,Multicolor,233,Déco au naturel,Déco au naturel ,active,12,,,0,,,
776370,774560,,HA543WWAQXOTPL-1,,,2015-04-08 12:17:18,2015-04-15 12:48:58,29,,,,1,,32,,,,,Local warehouse,,1,0,,,,,PL15CHR12-106,,,2022701841582,451,150,PL15CHR12-106,,,1,22,36,,35.4,37.5,21.9,150,1,,0,,,,,0,773143,,,775909,776370,,Happy lights,Christensen Sp. z o.o.,PLCHRI1,,westwing,100450,774560,HA543WWAQXOTPL,active,Guirlande lumineuse FLORES coton, multicolore - L150,,x,,B,0,creation,edited,images,1,2015-04-08 12:30:58,PL15CHR12-106,,China,,130,,Multicolore,Coton et plastique,,Diamètre d'une sphère : 7 cm<br>Longueur : 150 cm,,1 Guirlande lumineuse<br>20 boules lumineuses<br>Certificat CE<br>Alimentation : 230 V - 50 Hz - 16.6W<br>Ampoules recommandées de type : 0.78W- 12V, 65 mA<br>Luminaire adapté aux classes énergétiques de type A++ à E<br>Ampoules fournies<br>Avec 2 Ampoules de rechange<br>Garantie du fabricant : 6 mois,,,,,,Nettoyer avec un chiffon sec,2,,,,,0,1,0,0,0,14.4,,451,FLORES /HAPPY LIGHTS 20,0,18,19,20,19,150,,,,,,,,,,,,Multicolor,232,Déco au naturel,Déco au naturel ,active,12,,,0,,,
776371,774561,,HA543WWAQXOUPL-1,,,2015-04-08 12:17:19,2015-04-15 12:48:58,29,,,,1,,32,,,,,Local warehouse,,1,0,,,,,PL15CHR12-107,,,2022701841599,431,150,PL15CHR12-107,,,1,22,36,,35.4,37.5,21.9,150,1,,0,,,,,0,773144,,,775910,776371,,Happy lights,Christensen Sp. z o.o.,PLCHRI1,,westwing,100450,774561,HA543WWAQXOUPL,active,Guirlande lumineuse KANDI coton, multicolore - L150,,x,,B,0,creation,edited,images,1,2015-04-08 12:30:58,PL15CHR12-107,,China,,130,,Multicolore,Coton et plastique,,Diamètre d'une sphère : 7 cm<br>Longueur : 150 cm,,1 Guirlande lumineuse<br>20 boules lumineuses<br>Certificat CE<br>Alimentation : 230 V - 50 Hz - 16.6W<br>Ampoules recommandées de type : 0.78W- 12V, 65 mA<br>Luminaire adapté aux classes énergétiques de type A++ à E<br>Ampoules fournies<br>Avec 2 Ampoules de rechange<br>Garantie du fabricant : 6 mois,,,,,,Nettoyer avec un chiffon sec,2,,,,,0,1,0,0,0,14.4,,431,KANDI /HAPPY LIGHTS 20,0,48,19,20,19,150,,,,,,,,,,,,Multicolor,231,Déco au naturel,Déco au naturel ,active,12,,,0,,,
776372,774562,,HA543WWAQXOVPL-1,,,2015-04-08 12:17:19,2015-04-15 12:48:58,29,,,,1,,32,,,,,Local warehouse,,1,0,,,,,PL15CHR12-108,,,2022701841605,455,150,PL15CHR12-108,,,1,22,36,,35.4,37.5,21.9,150,1,,0,,,,,0,773145,,,775911,776372,,Happy lights,Christensen Sp. z o.o.,PLCHRI1,,westwing,100450,774562,HA543WWAQXOVPL,active,Guirlande lumineuse KELIMUTU coton, multicolore - L150,,x,,B,0,creation,edited,images,1,2015-04-08 12:30:58,PL15CHR12-108,,China,,130,,Multicolore,Coton et plastique,,Diamètre d'une sphère : 7 cm<br>Longueur : 150 cm,,1 Guirlande lumineuse<br>20 boules lumineuses<br>Certificat CE<br>Alimentation : 230 V - 50 Hz - 16.6W<br>Ampoules recommandées de type : 0.78W- 12V, 65 mA<br>Luminaire adapté aux classes énergétiques de type A++ à E<br>Ampoules fournies<br>Avec 2 Ampoules de rechange<br>Garantie du fabricant : 6 mois,,,,,,Nettoyer avec un chiffon sec,2,,,,,0,1,0,0,0,14.4,,455,KELIMUTU /HAPPY LIGHTS 20,0,20,19,20,19,150,,,,,,,,,,,,Multicolor,230,Déco au naturel,Déco au naturel ,active,12,,,0,,,
776373,774563,,HA543WWAQXOWPL-1,,,2015-04-08 12:17:19,2015-04-15 12:48:58,29,,,,1,,32,,,,,Local warehouse,,1,0,,,,,PL15CHR12-109,,,2022701841612,441,150,PL15CHR12-109,,,1,22,36,,35.4,37.5,21.9,150,1,,0,,,,,0,773146,,,775912,776373,,Happy lights,Christensen Sp. z o.o.,PLCHRI1,,westwing,100450,774563,HA543WWAQXOWPL,active,Guirlande lumineuse KINGSFISHER coton, multicolore - L150,,x,,B,0,creation,edited,images,1,2015-04-08 12:30:58,PL15CHR12-109,,China,,130,,Multicolore,Coton et plastique,,Diamètre d'une sphère : 7 cm<br>Longueur : 150 cm,,1 Guirlande lumineuse<br>20 boules lumineuses<br>Certificat CE<br>Alimentation : 230 V - 50 Hz - 16.6W<br>Ampoules recommandées de type : 0.78W- 12V, 65 mA<br>Luminaire adapté aux classes énergétiques de type A++ à E<br>Ampoules fournies<br>Avec 2 Ampoules de rechange<br>Garantie du fabricant : 6 mois,,,,,,Nettoyer avec un chiffon sec,2,,,,,0,1,0,0,0,14.4,,441,KINGSFISHER /HAPPY LIGHTS 20,0,20,19,20,19,150,,,,,,,,,,,,Multicolor,229,Déco au naturel,Déco au naturel ,active,12,,,0,,,
776374,774564,,HA543WWAQXOXPL-1,,,2015-04-08 12:17:19,2015-04-15 12:48:59,29,,,,1,,32,,,,,Local warehouse,,1,0,,,,,PL15CHR12-110,,,2022701841629,477,150,PL15CHR12-110,,,1,22,36,,35.4,37.5,21.9,150,1,,0,,,,,0,773147,,,775913,776374,,Happy lights,Christensen Sp. z o.o.,PLCHRI1,,westwing,100450,774564,HA543WWAQXOXPL,active,Guirlande lumineuse KOPENHAGEN coton, multicolore - L150,,x,,B,0,creation,edited,images,1,2015-04-08 12:30:58,PL15CHR12-110,,China,,130,,Multicolore,Coton et plastique,,Diamètre d'une sphère : 7 cm<br>Longueur : 150 cm,,1 Guirlande lumineuse<br>20 boules lumineuses<br>Certificat CE<br>Alimentation : 230 V - 50 Hz - 16.6W<br>Ampoules recommandées de type : 0.78W- 12V, 65 mA<br>Luminaire adapté aux classes énergétiques de type A++ à E<br>20 Ampoules fournies<br>Avec 2 Ampoules de rechange<br>Garantie du fabricant : 6 mois,,,,,,Nettoyer avec un chiffon sec,2,,,,,0,1,0,0,0,14.4,,477,KOPENHAGEN /HAPPY LIGHTS 20,0,20,19,20,19,150,,,,,,,,,,,,Multicolor,228,Déco au naturel,Déco au naturel ,active,12,,,0,,,
776375,774565,,HA543WWAQXOYPL-1,,,2015-04-08 12:17:20,2015-04-15 12:48:59,29,,,,1,,32,,,,,Local warehouse,,1,0,,,,,PL15CHR12-111,,,2022701841636,405,150,PL15CHR12-111,,,1,22,36,,35.4,37.5,21.9,150,1,,0,,,,,0,773148,,,775914,776375,,Happy lights,Christensen Sp. z o.o.,PLCHRI1,,westwing,100450,774565,HA543WWAQXOYPL,active,Guirlande lumineuse LAC ASSAL coton, multicolore - L150,,x,,B,0,creation,edited,images,1,2015-04-08 12:30:58,PL15CHR12-111,,China,,130,,Multicolore,Coton et plastique,,Diamètre d'une sphère : 7 cm<br>Longueur : 150 cm,,1 Guirlande lumineuse<br>20 boules lumineuses<br>Certificat CE<br>Alimentation : 230 V - 50 Hz - 16.6W<br>Ampoules recommandées de type : 0.78W- 12V, 65 mA<br>Luminaire adapté aux classes énergétiques de type A++ à E<br>Ampoules fournies<br>Avec 2 Ampoules de rechange<br>Garantie du fabricant : 6 mois,,,,,,Nettoyer avec un chiffon sec,2,,,,,0,1,0,0,0,14.4,,405,LAC ASSAL /HAPPY LIGHTS 20,0,18,19,20,19,150,,,,,,,,,,,,Multicolor,227,Déco au naturel,Déco au naturel ,active,12,,,0,,,
